2021/1/4,536
2021/1/5,542
2021/1/6,549
2021/1/7,565
2021/1/8,580
2021/1/11,584
2021/1/12,591
2021/1/13,605
2021/1/14,592
2021/1/15,601
2021/1/18,607
2021/1/19,627
2021/1/20,647
2021/1/21,673
2021/1/22,649
2021/1/25,633
2021/1/26,617
2021/1/27,615
2021/1/28,601
2021/1/29,591
2021/2/1,611
2021/2/2,632
2021/2/3,630
2021/2/4,627
2021/2/5,632
2021/2/17,663
2021/2/18,660
2021/2/19,652
2021/2/22,650
2021/2/23,641
2021/2/24,625
2021/2/25,635
2021/2/26,606
2021/3/2,609
2021/3/3,622
2021/3/4,601
2021/3/5,601
2021/3/8,598
2021/3/9,595
2021/3/10,597
2021/3/11,609
2021/3/12,614
2021/3/15,611
2021/3/16,613
2021/3/17,604
2021/3/18,602
2021/3/19,591
2021/3/22,593
2021/3/23,594
2021/3/24,576
2021/3/25,575
2021/3/26,590
2021/3/29,599
2021/3/30,597
2021/3/31,587
2021/4/1,602
2021/4/6,610
2021/4/7,610
2021/4/8,613
2021/4/9,610
2021/4/12,605
2021/4/13,605
2021/4/14,612
2021/4/15,619
2021/4/16,610
2021/4/19,603
2021/4/20,602
2021/4/21,592
2021/4/22,591
2021/4/23,602
2021/4/26,610
2021/4/27,610
2021/4/28,602
2021/4/29,600
2021/5/3,588
2021/5/4,591
2021/5/5,585
2021/5/6,587
2021/5/7,599
2021/5/10,589
2021/5/11,571
2021/5/12,560
2021/5/13,547
2021/5/14,557
2021/5/17,549
2021/5/18,572
2021/5/19,567
2021/5/20,567
2021/5/21,573
2021/5/24,568
2021/5/25,583
2021/5/26,585
2021/5/27,582
2021/5/28,590
2021/5/31,597
2021/6/1,598
2021/6/2,595
2021/6/3,596
2021/6/4,595
2021/6/7,592
2021/6/8,589
2021/6/9,586
2021/6/10,599
2021/6/11,602
2021/6/15,609
2021/6/16,605
2021/6/17,606
2021/6/18,603
2021/6/21,583
2021/6/22,578
2021/6/23,595
2021/6/24,590
2021/6/25,591
2021/6/28,590
2021/6/29,595
2021/6/30,595
2021/7/1,593
2021/7/2,588
2021/7/5,591
2021/7/6,592
2021/7/7,594
2021/7/8,588
2021/7/9,584
2021/7/12,593
2021/7/13,607
2021/7/14,613
2021/7/15,614
2021/7/16,589
2021/7/19,582
2021/7/20,581
2021/7/21,585
2021/7/22,591
2021/7/23,585
2021/7/26,580
2021/7/27,580
2021/7/28,579
2021/7/29,583
2021/7/30,580
2021/8/2,590
2021/8/3,594
2021/8/4,596
2021/8/5,596
2021/8/6,591
2021/8/9,595
2021/8/10,591
2021/8/11,590
2021/8/12,586
2021/8/13,581
2021/8/16,584
2021/8/17,580
2021/8/18,574
2021/8/19,559
2021/8/20,552
2021/8/23,566
2021/8/24,572
2021/8/25,585
2021/8/26,594
2021/8/27,599
2021/8/30,605
2021/8/31,614
2021/9/1,613
2021/9/2,607
2021/9/3,620
2021/9/6,631
2021/9/7,623
2021/9/8,619
2021/9/9,619
2021/9/10,622
2021/9/13,615
2021/9/14,613
2021/9/15,607
2021/9/16,600
2021/9/17,600
2021/9/22,586
2021/9/23,588
2021/9/24,598
2021/9/27,602
2021/9/28,594
2021/9/29,580
2021/9/30,580
2021/10/1,574
2021/10/4,572
2021/10/5,572
2021/10/6,571
2021/10/7,580
2021/10/8,575
2021/10/12,571
2021/10/13,573
2021/10/14,574
2021/10/15,0
2021/10/18,0
2021/10/19,0
2021/10/20,0
2021/10/21,0
2021/10/22,0
2021/10/25,0
2021/10/26,0
2021/10/27,0
2021/10/28,0
2021/10/29,0
2021/11/1,0
2021/11/2,0
2021/11/3,0
2021/11/4,0
2021/11/5,0
2021/11/8,0
2021/11/9,0
2021/11/10,0
2021/11/11,0
